no,item,exp,condition,group,cb,r1,r2,r3,r4,r5,r6,r7,left,right,question,target
27,9,1,contrastive,b,n,Régen,az iskolában,a diákok,többek,között,németet,tanultak.,9a,9b,,9b
65,21,2,self-directed-x,b,n,Az orvos,"hallotta,",hogy,a tűzoltó,megmondta,,a véleményét.,orvos,tűzoltó,Kinek a véleményéről van szó?,tűzoltó
36,12,1,contrastive,b,y,Tíz évvel ez előtt,a kertben,a férfi,többek,között,egy fenyőfát,ültetett el.,12b,12a,,12b
104,31,2,self-directed,b,y,A művész,"mondta,",hogy,az üzletember,szervezte meg,,a kiállítását.,üzletember,művész,Kinek a kiállításáról van szó?,művész
115,34,,attention-check,b,n,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,jegesmedve,hangya,,hangya
101,30,2,self-directed-x,b,n,A diák,"nem bánta,",hogy,a tanár,felajánlotta,,a segítségét.,diák,tanár,Kinek a segítségéről van szó?,tanár
80,25,2,other-directed,b,y,Az ügyész,"számított rá,",hogy,a tudós,kritizálja,,a vallomását.,tudós,ügyész,Kinek a vallomásáról van szó?,ügyész
54,18,1,contrastive,b,y,Tegnap este,a bálon,Péter,többek,között,Marit,kérte fel.,18b,18a,,18b
31,11,1,exhaustive,b,n,Ami,a járműveket,"illeti,",a turisták,csak,egy robogót,béreltek ki.,11a,11b,,11a
47,16,1,unmodified,b,n,Ami,az ebédet,"illeti,",a nagyi,ma,levest,tálalt fel.,16a,16b,,
95,29,2,self-directed,b,n,A földműves,"azt hitte,",hogy,a munkás,befejezte,,a munkáját.,földműves,munkás,Kinek a munkájáról van szó?,munkás
49,17,1,exhaustive,b,n,Ami,a ruhákat,"illeti,",ez a szabó,csak,ingeket,foltozott be.,17a,17b,,17a
110,32,2,other-directed-x,b,y,A politikus,"meglepődött,",hogy,az újságíró,kifogásolta,,a nyilatkozatát.,újságíró,politikus,Kinek a nyilatkozatáról van szó?,politikus
22,8,1,exhaustive,b,y,Ami,az innivalót,"illeti,",Eszter,csak,kávét,ivott.,8b,8a,,8a
9,3,1,contrastive,b,n,Tegnap,a műhelyben,az asztalos,többek,között,egy könyvespolcot,készített.,3a,3b,,3b
60,20,2,other-directed,c,y,A programozó,"megemlítette,",hogy,a rendező,ámult,,az ügyességén.,rendező,programozó,Kinek az ügyességéről van szó?,programozó
12,4,1,contrastive,c,y,Tavaly,ilyenkor,a katonaság,többek,között,a helikoptert,tesztelte.,4b,4a,,4b
25,9,1,exhaustive,c,n,Ami,a nyelveket ,"illeti,",a diákok,csak,németet,tanultak.,9a,9b,,9a
78,24,2,other-directed-x,c,y,A mérnök,"megköszönte,",hogy,az építész,támogatta,,a terveit.,építész,mérnök,Kinek a terveiről van szó?,mérnök
96,29,2,other-directed,c,y,A földműves,"azt hitte,",hogy,a munkás,elvette,,a munkáját.,munkás,földműves,Kinek a munkájáról van szó?,földműves
23,8,1,unmodified,c,n,Ami,az innivalót,"illeti,",Eszter,ma,kávét,ivott.,8a,8b,,
108,32,2,other-directed,c,y,Az újságíró,"meglepődött,",hogy,a politikus,kifogásolta,,a nyilatkozatát.,politikus,újságíró,Kinek a nyilatkozatáról van szó?,újságíró
50,17,1,unmodified,c,y,Ami,a ruhákat,"illeti,",ez a szabó,általában,ingeket,foltozott be.,17b,17a,,
90,27,2,other-directed-x,c,y,A kórboncnok,"látta,",hogy,a katona,lenézte,,a munkáját.,katona,kórboncnok,Kinek a munkájáról van  szó?,kórboncnok
41,14,1,unmodified,c,n,Ami,a konyhát,"illeti,",a szerelő,múltkor,a hűtőt,üzemelte be.,14a,14b,,
105,31,2,other-directed,c,n,Az üzletember,"mondta,",hogy,a művész,büszke volt,,a kiállítására.,üzletember,művész,Kinek a kiállításáról van szó?,művész
122,36,,attention-check,c,y,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,reggeli,vacsora,Melyiket választod?,vacsora
30,10,1,contrastive,c,y,Tavaly,nyáron,Marci,többek,között,egy lepkét,fedezett fel.,10b,10a,,10b
113,33,,attention-check,c,n,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,burgonya,paradicsom,,burgonya
63,21,2,self-directed,c,n,A tűzoltó,"hallotta,",hogy,az orvos,megmondta,,a véleményét.,tűzoltó,orvos,Kinek a véleményéről van szó?,orvos
102,30,2,other-directed-x,c,y,A diák,"nem bánta,",hogy,a tanár,elutasította,,a segítségét.,tanár,diák,Kinek a segítségéről van szó?,diák
43,15,1,exhaustive,c,n,Ami,a kincseket,"illeti,",a kalóz,csak,az aranyat,találta meg.,15a,15b,,15a
57,19,2,self-directed-x,c,n,A dolgozó,"említette,",hogy,a szakács,kérkedett,,a főzőtudásával.,dolgozó,szakács,Kinek a főzőtudásáról van szó?,szakács
7,3,1,exhaustive,c,n,Ami,a bútorokat,"illeti,",az asztalos,csak,egy könyvespolcot,készített.,3a,3b,,3a
21,7,1,contrastive,c,n,Tegnap,este,mi,többek,között,ásványvizet,vettünk.,7a,7b,,7b
99,30,2,self-directed,c,n,A tanár,"nem bánta,",hogy,a diák,felajánlotta,,a segítségét.,tanár,diák,Kinek a segítségéről van szó?,diák
72,23,2,other-directed,c,y,A rendőr,"tudta,",hogy,a biztonsági őr,ellopta,,a fizetését.,biztonsági őr,rendőr,Kinek a fizetésről van szó?,rendőr
14,5,1,unmodified,c,y,Ami,a süteményeket,"illeti,",én,múltkor,a fánkot,sütöttem.,5b,5a,,
39,13,1,contrastive,c,n,Múltkor,az állatkertben,a gyerekek,többek,között,az elefántot,nézték meg.,13a,13b,,13b
66,21,2,other-directed-x,c,y,Az orvos,"hallotta,",hogy,a tűzoltó,megfontolta,,a véleményét.,tűzoltó,orvos,Kinek a véleményéről van szó?,orvos
87,27,2,self-directed,c,n,A katona,"látta,",hogy,a kórboncnok,odafigyelt,,a munkájára.,katona,kórboncnok,Kinek a munkájáról van  szó?,kórboncnok
34,12,1,exhaustive,c,y,Ami,a kertet,"illeti,",a férfi,csak,egy fenyőfát,ültetett el.,12b,12a,,12a
69,22,2,self-directed-x,c,n,A menedzser,"sejtette,",hogy,a vezérigazgató,elherdálta,,a vagyonát.,menedzser,vezérigazgató,Kinek a vagyonáról van szó?,vezérigazgató
3,1,1,contrastive,c,n,Tegnap,reggel,Anna,többek,között,egy banánt,evett.,1a,1b,,1b
93,28,2,self-directed-x,c,n,Julcsi,"mondta,",hogy,Mária,kiadta,,a könyvét.,Julcsi,Mária,Kinek a könyvéről van szó?,Mária
75,24,2,self-directed,c,n,Az építész,"megköszönte,",hogy,a mérnök,megosztotta,,a terveit.,építész,mérnök,Kinek a terveiről van szó?,mérnök
116,34,,attention-check,c,y,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,hangya,jegesmedve,,hangya
84,26,2,other-directed,c,y,A pilóta,"úgy vélte,",hogy,a professzor,irigykedett,,a kapcsolataira.,professzor,pilóta,Kinek a kapcsolatairól van szó?,pilóta
5,2,1,unmodified,c,n,Ami,az írószereket,"illeti,",a kisfiú,tegnap,egy ceruzát,kapott.,2a,2b,,
119,35,,attention-check,c,n,Ha,"figyelsz arra,",amit,olvasol,válaszd,majd,a madarat.,pelikán,tigris,Melyiket választod?,pelikán
16,6,1,exhaustive,c,y,Ami,a virágokat,"illeti,",Éva,csak,a tulipánt,szereti.,6b,6a,,6a
32,11,1,unmodified,c,y,Ami,a járműveket,"illeti,",a turisták,a hétvégén,egy robogót,béreltek ki.,11b,11a,,
81,25,2,self-directed-x,c,n,A tudós,"számított rá,",hogy,az ügyész,felolvassa,,a vallomását.,tudós,ügyész,Kinek a vallomásáról van szó?,ügyész
48,16,1,contrastive,c,y,Ma,ebédre,a nagyi,többek,között,levest,tálalt fel.,16b,16a,,16b
52,18,1,exhaustive,c,y,Ami,a táncot,"illeti,",Péter,csak,Marit,kérte fel.,18b,18a,,18a
